Year,Value,Month,City
2021,15.2,03,Abilene
2021,15.3,04,Abilene
2021,15.2,05,Abilene
2021,15.1,06,Abilene
2021,15.1,07,Abilene
2021,14.8,08,Abilene
2021,15.2,09,Abilene
2021,15.3,10,Abilene
2021,15.4,11,Abilene
2021,15.4,12,Abilene
2022,15.3,01,Abilene
1990,10.4,01,Amarillo
1990,10.5,02,Amarillo
1990,10.5,03,Amarillo
1990,10.7,04,Amarillo
1990,10.8,05,Amarillo
1990,10.9,06,Amarillo
1990,10.7,07,Amarillo
1990,10.8,08,Amarillo
1990,10.9,09,Amarillo
1990,11.0,10,Amarillo
1990,11.2,11,Amarillo
1990,11.2,12,Amarillo
1991,10.9,01,Amarillo
1991,11.0,02,Amarillo
1991,11.1,03,Amarillo
1991,11.0,04,Amarillo
1991,11.2,05,Amarillo
1991,11.1,06,Amarillo
1991,11.2,07,Amarillo
1991,11.3,08,Amarillo
1991,11.3,09,Amarillo
1991,11.3,10,Amarillo
1991,11.3,11,Amarillo
1991,11.3,12,Amarillo
1992,11.2,01,Amarillo
1992,11.3,02,Amarillo
1992,11.3,03,Amarillo
1992,11.3,04,Amarillo
1992,11.2,05,Amarillo
1992,11.2,06,Amarillo
1992,11.1,07,Amarillo
1992,11.2,08,Amarillo
1992,11.3,09,Amarillo
1992,11.3,10,Amarillo
1992,11.3,11,Amarillo
1992,11.2,12,Amarillo
1993,11.4,01,Amarillo
1993,11.5,02,Amarillo
1993,11.6,03,Amarillo
1993,11.6,04,Amarillo
1993,11.5,05,Amarillo
1993,11.5,06,Amarillo
1993,11.5,07,Amarillo
1993,11.6,08,Amarillo
1993,11.7,09,Amarillo
1993,11.6,10,Amarillo
1993,11.5,11,Amarillo
1993,11.5,12,Amarillo
1994,11.5,01,Amarillo
1994,11.7,02,Amarillo
1994,11.7,03,Amarillo
1994,11.9,04,Amarillo
1994,12.0,05,Amarillo
1994,12.0,06,Amarillo
1994,12.0,07,Amarillo
1994,12.1,08,Amarillo
1994,12.2,09,Amarillo
1994,12.4,10,Amarillo
1994,12.5,11,Amarillo
1994,12.5,12,Amarillo
1995,12.7,01,Amarillo
1995,12.7,02,Amarillo
1995,12.7,03,Amarillo
1995,12.8,04,Amarillo
1995,12.9,05,Amarillo
1995,12.7,06,Amarillo
1995,13.0,07,Amarillo
1995,13.0,08,Amarillo
1995,13.2,09,Amarillo
1995,13.1,10,Amarillo
1995,13.1,11,Amarillo
1995,13.2,12,Amarillo
1996,13.2,01,Amarillo
1996,13.3,02,Amarillo
1996,13.4,03,Amarillo
1996,13.3,04,Amarillo
1996,13.7,05,Amarillo
1996,13.6,06,Amarillo
1996,13.4,07,Amarillo
1996,13.2,08,Amarillo
1996,13.2,09,Amarillo
1996,13.2,10,Amarillo
1996,13.2,11,Amarillo
1996,13.1,12,Amarillo
1997,13.1,01,Amarillo
1997,13.1,02,Amarillo
1997,13.2,03,Amarillo
1997,13.2,04,Amarillo
1997,13.3,05,Amarillo
1997,13.4,06,Amarillo
1997,13.4,07,Amarillo
1997,13.4,08,Amarillo
1997,13.3,09,Amarillo
1997,13.4,10,Amarillo
1997,13.6,11,Amarillo
1997,13.5,12,Amarillo
1998,13.5,01,Amarillo
1998,13.6,02,Amarillo
1998,13.6,03,Amarillo
1998,13.7,04,Amarillo
1998,13.8,05,Amarillo
1998,14.0,06,Amarillo
1998,14.0,07,Amarillo
1998,14.2,08,Amarillo
1998,14.2,09,Amarillo
1998,14.2,10,Amarillo
1998,14.3,11,Amarillo
1998,14.4,12,Amarillo
1999,14.1,01,Amarillo
1999,14.1,02,Amarillo
1999,14.2,03,Amarillo
1999,14.4,04,Amarillo
1999,14.6,05,Amarillo
1999,14.6,06,Amarillo
1999,14.4,07,Amarillo
1999,14.5,08,Amarillo
1999,14.6,09,Amarillo
1999,14.4,10,Amarillo
1999,14.6,11,Amarillo
1999,14.5,12,Amarillo
2000,14.3,01,Amarillo
2000,14.3,02,Amarillo
2000,14.4,03,Amarillo
2000,14.5,04,Amarillo
2000,14.6,05,Amarillo
2000,14.4,06,Amarillo
2000,14.4,07,Amarillo
2000,14.5,08,Amarillo
2000,14.6,09,Amarillo
2000,14.3,10,Amarillo
2000,14.4,11,Amarillo
2000,14.4,12,Amarillo
2001,14.2,01,Amarillo
2001,14.2,02,Amarillo
2001,14.3,03,Amarillo
2001,14.1,04,Amarillo
2001,14.2,05,Amarillo
2001,14.2,06,Amarillo
2001,14.2,07,Amarillo
2001,14.2,08,Amarillo
2001,14.2,09,Amarillo
2001,14.2,10,Amarillo
2001,14.2,11,Amarillo
2001,14.1,12,Amarillo
2002,14.2,01,Amarillo
2002,14.2,02,Amarillo
2002,14.4,03,Amarillo
2002,14.6,04,Amarillo
2002,14.7,05,Amarillo
2002,14.7,06,Amarillo
2002,14.7,07,Amarillo
2002,14.8,08,Amarillo
2002,14.9,09,Amarillo
2002,14.9,10,Amarillo
2002,14.9,11,Amarillo
2002,15.1,12,Amarillo
2003,14.9,01,Amarillo
2003,14.9,02,Amarillo
2003,15.0,03,Amarillo
2003,14.8,04,Amarillo
2003,14.9,05,Amarillo
2003,14.9,06,Amarillo
2003,15.1,07,Amarillo
2003,15.1,08,Amarillo
2003,15.3,09,Amarillo
2003,15.3,10,Amarillo
2003,15.3,11,Amarillo
2003,15.4,12,Amarillo
2004,15.3,01,Amarillo
2004,15.3,02,Amarillo
2004,15.3,03,Amarillo
2004,15.3,04,Amarillo
2004,15.3,05,Amarillo
2004,15.3,06,Amarillo
2004,15.2,07,Amarillo
2004,15.3,08,Amarillo
2004,15.4,09,Amarillo
2004,15.2,10,Amarillo
2004,15.2,11,Amarillo
2004,15.1,12,Amarillo
2005,14.8,01,Amarillo
2005,14.9,02,Amarillo
2005,15.0,03,Amarillo
2005,15.1,04,Amarillo
2005,15.1,05,Amarillo
2005,15.0,06,Amarillo
2005,15.0,07,Amarillo
2005,15.1,08,Amarillo
2005,15.2,09,Amarillo
2005,15.2,10,Amarillo
2005,15.2,11,Amarillo
2005,15.3,12,Amarillo
2006,15.4,01,Amarillo
2006,15.5,02,Amarillo
2006,15.6,03,Amarillo
2006,15.4,04,Amarillo
2006,15.4,05,Amarillo
2006,15.4,06,Amarillo
2006,15.4,07,Amarillo
2006,15.5,08,Amarillo
2006,15.5,09,Amarillo
2006,15.6,10,Amarillo
2006,15.6,11,Amarillo
2006,15.6,12,Amarillo
2007,15.5,01,Amarillo
2007,15.6,02,Amarillo
2007,15.5,03,Amarillo
2007,16.0,04,Amarillo
2007,16.0,05,Amarillo
2007,15.9,06,Amarillo
2007,16.2,07,Amarillo
2007,16.1,08,Amarillo
2007,15.9,09,Amarillo
2007,16.3,10,Amarillo
2007,16.2,11,Amarillo
2007,16.1,12,Amarillo
2008,16.2,01,Amarillo
2008,16.1,02,Amarillo
2008,16.1,03,Amarillo
2008,16.4,04,Amarillo
2008,16.2,05,Amarillo
2008,16.2,06,Amarillo
2008,16.5,07,Amarillo
2008,16.5,08,Amarillo
2008,16.4,09,Amarillo
2008,16.3,10,Amarillo
2008,16.4,11,Amarillo
2008,16.3,12,Amarillo
2009,16.2,01,Amarillo
2009,16.1,02,Amarillo
2009,16.1,03,Amarillo
2009,16.3,04,Amarillo
2009,16.2,05,Amarillo
2009,16.1,06,Amarillo
2009,16.3,07,Amarillo
2009,16.2,08,Amarillo
2009,16.1,09,Amarillo
2009,16.3,10,Amarillo
2009,16.2,11,Amarillo
2009,16.1,12,Amarillo
2010,16.0,01,Amarillo
2010,16.0,02,Amarillo
2010,16.0,03,Amarillo
2010,15.7,04,Amarillo
2010,16.2,05,Amarillo
2010,16.1,06,Amarillo
2010,16.0,07,Amarillo
2010,16.0,08,Amarillo
2010,16.1,09,Amarillo
2010,16.2,10,Amarillo
2010,16.2,11,Amarillo
2010,16.3,12,Amarillo
2011,16.1,01,Amarillo
2011,16.1,02,Amarillo
2011,16.2,03,Amarillo
2011,16.2,04,Amarillo
2011,16.3,05,Amarillo
2011,16.3,06,Amarillo
2011,16.5,07,Amarillo
2011,16.5,08,Amarillo
2011,16.6,09,Amarillo
2011,16.6,10,Amarillo
2011,16.7,11,Amarillo
2011,16.8,12,Amarillo
2012,16.6,01,Amarillo
2012,16.5,02,Amarillo
2012,16.6,03,Amarillo
2012,16.6,04,Amarillo
2012,16.6,05,Amarillo
2012,16.5,06,Amarillo
2012,16.4,07,Amarillo
2012,16.4,08,Amarillo
2012,16.4,09,Amarillo
2012,16.4,10,Amarillo
2012,16.3,11,Amarillo
2012,16.4,12,Amarillo
2013,16.2,01,Amarillo
2013,16.1,02,Amarillo
2013,16.2,03,Amarillo
2013,16.5,04,Amarillo
2013,16.4,05,Amarillo
2013,16.4,06,Amarillo
2013,16.1,07,Amarillo
2013,16.2,08,Amarillo
2013,16.3,09,Amarillo
2013,16.3,10,Amarillo
2013,16.2,11,Amarillo
2013,16.4,12,Amarillo
2014,16.2,01,Amarillo
2014,16.1,02,Amarillo
2014,16.2,03,Amarillo
2014,16.0,04,Amarillo
2014,16.3,05,Amarillo
2014,16.3,06,Amarillo
2014,15.9,07,Amarillo
2014,16.1,08,Amarillo
2014,16.2,09,Amarillo
2014,16.1,10,Amarillo
2014,16.2,11,Amarillo
2014,16.2,12,Amarillo
2015,16.3,01,Amarillo
2015,16.2,02,Amarillo
2015,16.2,03,Amarillo
2015,16.2,04,Amarillo
2015,16.2,05,Amarillo
2015,16.2,06,Amarillo
2015,16.3,07,Amarillo
2015,16.4,08,Amarillo
2015,16.6,09,Amarillo
2015,16.5,10,Amarillo
2015,16.5,11,Amarillo
2015,16.7,12,Amarillo
2016,16.4,01,Amarillo
2016,16.5,02,Amarillo
2016,16.4,03,Amarillo
2016,16.5,04,Amarillo
2016,16.5,05,Amarillo
2016,16.3,06,Amarillo
2016,16.7,07,Amarillo
2016,16.8,08,Amarillo
2016,16.9,09,Amarillo
2016,16.8,10,Amarillo
2016,16.8,11,Amarillo
2016,16.8,12,Amarillo
2017,16.7,01,Amarillo
2017,16.7,02,Amarillo
2017,16.8,03,Amarillo
2017,16.8,04,Amarillo
2017,16.8,05,Amarillo
2017,16.8,06,Amarillo
2017,16.7,07,Amarillo
2017,16.9,08,Amarillo
2017,16.9,09,Amarillo
2017,17.0,10,Amarillo
2017,17.0,11,Amarillo
2017,17.0,12,Amarillo
2018,16.9,01,Amarillo
2018,17.0,02,Amarillo
2018,17.0,03,Amarillo
2018,17.0,04,Amarillo
2018,16.9,05,Amarillo
2018,16.8,06,Amarillo
2018,16.8,07,Amarillo
2018,16.8,08,Amarillo
2018,16.7,09,Amarillo
2018,16.6,10,Amarillo
2018,16.5,11,Amarillo
2018,16.5,12,Amarillo
2019,16.3,01,Amarillo
2019,16.5,02,Amarillo
2019,16.4,03,Amarillo
2019,16.5,04,Amarillo
2019,16.5,05,Amarillo
2019,16.5,06,Amarillo
2019,16.5,07,Amarillo
2019,16.7,08,Amarillo
2019,16.6,09,Amarillo
2019,16.6,10,Amarillo
2019,16.8,11,Amarillo
2019,16.7,12,Amarillo
2020,16.8,01,Amarillo
2020,16.9,02,Amarillo
2020,16.8,03,Amarillo
2020,15.4,04,Amarillo
2020,15.7,05,Amarillo
2020,16.0,06,Amarillo
2020,16.3,07,Amarillo
2020,16.5,08,Amarillo
2020,16.4,09,Amarillo
2020,16.3,10,Amarillo
2020,16.2,11,Amarillo
2020,16.2,12,Amarillo
2021,16.2,01,Amarillo
2021,16.2,02,Amarillo
2021,16.1,03,Amarillo
2021,16.1,04,Amarillo
2021,16.2,05,Amarillo
2021,16.2,06,Amarillo
2021,16.4,07,Amarillo
2021,16.4,08,Amarillo
2021,16.3,09,Amarillo
2021,16.4,10,Amarillo
2021,16.4,11,Amarillo
2021,16.3,12,Amarillo
2022,16.4,01,Amarillo
1990,34.8,01,Austin-RoundRock
1990,35.1,02,Austin-RoundRock
1990,35.6,03,Austin-RoundRock
1990,35.7,04,Austin-RoundRock
1990,35.6,05,Austin-RoundRock
1990,36.0,06,Austin-RoundRock
1990,35.9,07,Austin-RoundRock
1990,36.6,08,Austin-RoundRock
1990,36.5,09,Austin-RoundRock
1990,36.9,10,Austin-RoundRock
1990,37.5,11,Austin-RoundRock
1990,37.5,12,Austin-RoundRock
1991,37.1,01,Austin-RoundRock
1991,37.7,02,Austin-RoundRock
1991,37.9,03,Austin-RoundRock
1991,38.0,04,Austin-RoundRock
1991,37.9,05,Austin-RoundRock
1991,38.1,06,Austin-RoundRock
1991,38.6,07,Austin-RoundRock
1991,38.7,08,Austin-RoundRock
1991,39.6,09,Austin-RoundRock
1991,40.0,10,Austin-RoundRock
1991,40.5,11,Austin-RoundRock
1991,40.3,12,Austin-RoundRock
1992,39.8,01,Austin-RoundRock
1992,40.4,02,Austin-RoundRock
1992,40.5,03,Austin-RoundRock
1992,41.6,04,Austin-RoundRock
1992,41.4,05,Austin-RoundRock
1992,41.4,06,Austin-RoundRock
1992,41.6,07,Austin-RoundRock
1992,41.5,08,Austin-RoundRock
1992,42.0,09,Austin-RoundRock
1992,42.8,10,Austin-RoundRock
1992,42.5,11,Austin-RoundRock
1992,42.5,12,Austin-RoundRock
1993,42.4,01,Austin-RoundRock
1993,42.8,02,Austin-RoundRock
1993,43.1,03,Austin-RoundRock
1993,44.5,04,Austin-RoundRock
1993,44.5,05,Austin-RoundRock
1993,44.2,06,Austin-RoundRock
1993,44.5,07,Austin-RoundRock
1993,44.5,08,Austin-RoundRock
1993,44.9,09,Austin-RoundRock
1993,45.1,10,Austin-RoundRock
1993,45.3,11,Austin-RoundRock
1993,45.3,12,Austin-RoundRock
1994,45.1,01,Austin-RoundRock
1994,45.6,02,Austin-RoundRock
1994,45.9,03,Austin-RoundRock
1994,46.5,04,Austin-RoundRock
1994,46.3,05,Austin-RoundRock
1994,46.5,06,Austin-RoundRock
1994,46.2,07,Austin-RoundRock
1994,46.2,08,Austin-RoundRock
1994,46.8,09,Austin-RoundRock
1994,47.0,10,Austin-RoundRock
1994,47.3,11,Austin-RoundRock
1994,47.6,12,Austin-RoundRock
1995,46.0,01,Austin-RoundRock
1995,46.6,02,Austin-RoundRock
1995,46.8,03,Austin-RoundRock
1995,47.6,04,Austin-RoundRock
1995,47.7,05,Austin-RoundRock
1995,47.4,06,Austin-RoundRock
1995,47.1,07,Austin-RoundRock
1995,47.8,08,Austin-RoundRock
1995,48.8,09,Austin-RoundRock
1995,49.1,10,Austin-RoundRock
1995,49.7,11,Austin-RoundRock
1995,49.9,12,Austin-RoundRock
1996,49.0,01,Austin-RoundRock
1996,49.5,02,Austin-RoundRock
1996,50.1,03,Austin-RoundRock
1996,50.5,04,Austin-RoundRock
1996,50.3,05,Austin-RoundRock
1996,50.4,06,Austin-RoundRock
1996,49.5,07,Austin-RoundRock
1996,50.4,08,Austin-RoundRock
1996,51.2,09,Austin-RoundRock
1996,51.6,10,Austin-RoundRock
1996,52.3,11,Austin-RoundRock
1996,52.1,12,Austin-RoundRock
1997,51.2,01,Austin-RoundRock
1997,52.1,02,Austin-RoundRock
1997,52.4,03,Austin-RoundRock
1997,52.7,04,Austin-RoundRock
1997,52.5,05,Austin-RoundRock
1997,52.6,06,Austin-RoundRock
1997,53.3,07,Austin-RoundRock
1997,53.5,08,Austin-RoundRock
1997,54.0,09,Austin-RoundRock
1997,53.9,10,Austin-RoundRock
1997,54.3,11,Austin-RoundRock
1997,54.5,12,Austin-RoundRock
1998,54.3,01,Austin-RoundRock
1998,55.0,02,Austin-RoundRock
1998,55.7,03,Austin-RoundRock
1998,55.9,04,Austin-RoundRock
1998,55.9,05,Austin-RoundRock
1998,55.8,06,Austin-RoundRock
1998,56.5,07,Austin-RoundRock
1998,56.8,08,Austin-RoundRock
1998,57.8,09,Austin-RoundRock
1998,58.5,10,Austin-RoundRock
1998,58.9,11,Austin-RoundRock
1998,59.0,12,Austin-RoundRock
1999,57.6,01,Austin-RoundRock
1999,59.2,02,Austin-RoundRock
1999,59.6,03,Austin-RoundRock
1999,59.5,04,Austin-RoundRock
1999,59.3,05,Austin-RoundRock
1999,60.0,06,Austin-RoundRock
1999,59.4,07,Austin-RoundRock
1999,59.6,08,Austin-RoundRock
1999,60.9,09,Austin-RoundRock
1999,60.9,10,Austin-RoundRock
1999,61.6,11,Austin-RoundRock
1999,61.7,12,Austin-RoundRock
2000,60.4,01,Austin-RoundRock
2000,61.3,02,Austin-RoundRock
2000,61.6,03,Austin-RoundRock
2000,61.9,04,Austin-RoundRock
2000,62.7,05,Austin-RoundRock
2000,62.7,06,Austin-RoundRock
2000,61.5,07,Austin-RoundRock
2000,62.4,08,Austin-RoundRock
2000,63.6,09,Austin-RoundRock
2000,63.7,10,Austin-RoundRock
2000,63.6,11,Austin-RoundRock
2000,63.6,12,Austin-RoundRock
2001,61.6,01,Austin-RoundRock
2001,62.8,02,Austin-RoundRock
2001,63.4,03,Austin-RoundRock
2001,63.6,04,Austin-RoundRock
2001,63.4,05,Austin-RoundRock
2001,64.6,06,Austin-RoundRock
2001,62.6,07,Austin-RoundRock
2001,62.9,08,Austin-RoundRock
2001,63.8,09,Austin-RoundRock
2001,63.9,10,Austin-RoundRock
2001,63.9,11,Austin-RoundRock
2001,63.8,12,Austin-RoundRock
2002,62.8,01,Austin-RoundRock
2002,64.0,02,Austin-RoundRock
2002,64.1,03,Austin-RoundRock
